,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Xander Schauffele,4,5,5,4,4,3,4,4,3,4,5,3,4,4,4,4,4,4,3,5,2,4,3,3,5,3,5,4,4,4,4,4,3,3,4,2,4,4,4,4,4,2,4,4,3,5,3,3,3,3,3,4,4,5,3,3,5,4,4,4,5,4,4,5,4,3,4,2,4,4,3,5
1,Kurt Kitayama,6,4,2,4,3,3,4,3,4,3,4,4,4,4,3,4,3,4,4,4,5,4,3,3,4,4,5,6,4,3,4,2,4,4,3,5,3,4,3,3,4,4,4,7,3,4,3,3,4,3,5,5,4,5,3,5,4,4,4,2,3,4,3,5,3,3,4,2,4,5,4,4
2,Joohyung Kim,4,4,5,4,3,2,4,4,3,5,4,3,4,3,4,5,3,4,3,4,3,4,3,4,6,2,5,4,5,5,4,4,4,4,4,3,4,5,5,4,4,2,3,4,3,5,4,3,4,3,4,4,3,5,4,4,5,4,3,3,4,3,3,5,4,3,4,3,4,4,2,5
3,Patrick Cantlay,3,5,5,4,3,3,4,4,3,5,4,3,4,3,5,5,3,4,4,4,4,4,3,4,4,2,5,4,4,5,4,4,4,4,4,3,3,4,5,4,5,3,4,5,3,5,3,3,4,2,5,4,3,4,3,3,5,4,4,2,3,4,4,4,4,3,4,3,5,5,3,4
4,Tommy Fleetwood,3,5,5,4,4,3,4,4,3,6,4,3,4,3,4,5,4,5,4,4,3,4,3,3,6,3,4,3,4,5,4,4,4,4,4,3,4,4,5,4,4,3,4,4,4,5,3,2,4,2,3,5,3,4,4,4,4,4,4,3,4,4,3,5,4,3,3,2,3,5,3,5
5,Brandon Wu,4,4,4,4,4,3,4,4,3,5,4,3,3,2,4,5,3,4,5,5,3,5,3,4,4,4,3,4,5,4,4,4,3,4,5,3,4,5,5,4,4,3,5,4,4,4,4,4,4,2,4,4,2,5,4,4,5,4,3,4,3,4,3,5,4,3,3,3,4,4,3,4
6,Jamie Donaldson,6,4,3,3,3,4,5,3,4,4,5,5,3,3,3,5,4,3,3,4,4,5,4,4,4,5,3,6,4,3,4,3,3,4,3,5,5,4,4,5,3,3,4,4,3,4,5,3,4,3,4,4,3,4,4,5,5,4,3,2,4,4,3,5,4,2,3,3,3,6,3,4
7,Cameron Tringale,4,4,5,4,3,3,3,3,3,4,3,2,3,2,3,5,3,4,5,3,2,4,4,3,6,4,5,5,4,5,3,4,4,4,4,3,4,4,3,4,4,4,5,5,3,5,5,3,4,3,4,5,4,5,4,4,4,4,4,3,4,4,4,6,5,3,4,3,3,5,2,4
8,Matt Fitzpatrick,4,4,4,4,3,4,4,6,3,4,4,3,4,4,4,5,3,4,4,3,3,4,3,3,4,3,4,4,3,5,3,4,3,4,5,4,4,4,5,4,3,4,4,4,4,5,4,2,4,4,5,3,3,4,4,4,4,5,3,4,4,4,3,4,5,3,4,3,4,5,3,4
9,Cameron Smith,4,5,2,3,3,4,4,3,4,4,5,5,3,4,3,4,5,3,5,4,5,5,5,3,4,4,3,5,5,3,4,4,4,4,3,5,4,4,4,3,5,3,4,4,3,4,4,3,4,3,4,5,3,4,4,4,4,4,4,4,4,4,3,5,3,2,4,3,4,4,2,5
10,Dean Burmester,4,4,3,5,4,5,4,3,4,4,4,4,4,3,2,4,4,3,4,4,5,4,5,5,4,4,2,4,5,3,5,2,4,5,3,4,4,4,4,4,4,4,4,4,3,5,4,3,4,3,5,4,3,4,4,4,3,4,3,5,4,4,4,4,4,3,4,2,4,4,4,4
